Gene stable ID	Gene name	Human gene stable ID	Human gene name	Human homology type
ENSSSCG00000018060				
ENSSSCG00000018061				
ENSSSCG00000018062				
ENSSSCG00000018063				
ENSSSCG00000018064				
ENSSSCG00000018065	ND1	ENSG00000198888	MT-ND1	ortholog_one2one
ENSSSCG00000018066				
ENSSSCG00000018067				
ENSSSCG00000018068				
ENSSSCG00000018069	ND2	ENSG00000198763	MT-ND2	ortholog_one2one
ENSSSCG00000018070				
ENSSSCG00000018071				
ENSSSCG00000018072				
ENSSSCG00000018073				
ENSSSCG00000018074				
ENSSSCG00000018075	COX1	ENSG00000198804	MT-CO1	ortholog_one2one
ENSSSCG00000018076				
ENSSSCG00000018077				
ENSSSCG00000018078	COX2	ENSG00000198712	MT-CO2	ortholog_one2one
ENSSSCG00000018079				
ENSSSCG00000018080	ATP8	ENSG00000228253	MT-ATP8	ortholog_one2one
ENSSSCG00000018081	ATP6	ENSG00000198899	MT-ATP6	ortholog_one2many
ENSSSCG00000018082	COX3	ENSG00000198938	MT-CO3	ortholog_one2one
ENSSSCG00000018083				
ENSSSCG00000018084	ND3	ENSG00000198840	MT-ND3	ortholog_one2one
ENSSSCG00000018085				
ENSSSCG00000018086	ND4L	ENSG00000212907	MT-ND4L	ortholog_one2many
ENSSSCG00000018087	ND4	ENSG00000198886	MT-ND4	ortholog_one2one
ENSSSCG00000018088				
ENSSSCG00000018089				
ENSSSCG00000018090				
ENSSSCG00000018091	ND5	ENSG00000198786	MT-ND5	ortholog_one2one
ENSSSCG00000018092	ND6	ENSG00000198695	MT-ND6	ortholog_one2one
ENSSSCG00000018093				
ENSSSCG00000018094	CYTB	ENSG00000198727	MT-CYB	ortholog_one2one
ENSSSCG00000018095				
ENSSSCG00000018096				
ENSSSCG00000023273	SH3YL1	ENSG00000035115	SH3YL1	ortholog_one2one
ENSSSCG00000053285	FAM110C	ENSG00000184731	FAM110C	ortholog_one2one
ENSSSCG00000046245				
ENSSSCG00000038060				
ENSSSCG00000014137	HAPLN1	ENSG00000145681	HAPLN1	ortholog_one2one
ENSSSCG00000026780	EDIL3	ENSG00000164176	EDIL3	ortholog_one2one
ENSSSCG00000040325	COX7C	ENSG00000127184	COX7C	ortholog_one2one
ENSSSCG00000014151	CETN3	ENSG00000153140	CETN3	ortholog_one2one
ENSSSCG00000014152	MBLAC2	ENSG00000176055	MBLAC2	ortholog_one2one
ENSSSCG00000026233				
ENSSSCG00000024193	LYSMD3	ENSG00000176018	LYSMD3	ortholog_one2one
ENSSSCG00000035025	ADGRV1	ENSG00000164199	ADGRV1	ortholog_one2one
ENSSSCG00000014156	ARRDC3	ENSG00000113369	ARRDC3	ortholog_one2one
ENSSSCG00000014252	PRRC1	ENSG00000164244	PRRC1	ortholog_one2one
ENSSSCG00000056856				
ENSSSCG00000014157	NR2F1	ENSG00000175745	NR2F1	ortholog_one2one
ENSSSCG00000027608	FAM172A	ENSG00000113391	FAM172A	ortholog_one2one
ENSSSCG00000036570	CTXN3	ENSG00000205279	CTXN3	ortholog_one2one
ENSSSCG00000014255	SLC12A2	ENSG00000064651	SLC12A2	ortholog_one2one
ENSSSCG00000053558				
ENSSSCG00000014146	RASA1	ENSG00000145715	RASA1	ortholog_one2one
ENSSSCG00000014256	FBN2	ENSG00000138829	FBN2	ortholog_one2one
ENSSSCG00000014147	CCNH	ENSG00000134480	CCNH	ortholog_one2one
ENSSSCG00000048763				
ENSSSCG00000014148	TMEM161B	ENSG00000164180	TMEM161B	ortholog_one2one
ENSSSCG00000039760	PRR16	ENSG00000184838	PRR16	ortholog_one2one
ENSSSCG00000041876				
ENSSSCG00000022656	SRFBP1	ENSG00000151304	SRFBP1	ortholog_one2one
ENSSSCG00000014232	LOX	ENSG00000113083	LOX	ortholog_one2one
ENSSSCG00000014233		ENSG00000250803		ortholog_one2one
ENSSSCG00000014235				
ENSSSCG00000022790	SNX2	ENSG00000205302	SNX2	ortholog_one2one
ENSSSCG00000014149	MEF2C	ENSG00000081189	MEF2C	ortholog_one2one
ENSSSCG00000039373	SNX24	ENSG00000064652	SNX24	ortholog_one2one
ENSSSCG00000031128	PPIC	ENSG00000168938	PPIC	ortholog_one2one
ENSSSCG00000014238	PRDM6	ENSG00000061455	PRDM6	ortholog_one2one
ENSSSCG00000050823				
ENSSSCG00000014239	CEP120	ENSG00000168944	CEP120	ortholog_one2one
ENSSSCG00000014133				
ENSSSCG00000045263				
ENSSSCG00000014132				
ENSSSCG00000056442	TMEM167A	ENSG00000174695	TMEM167A	ortholog_one2one
ENSSSCG00000014240	CSNK1G3	ENSG00000151292	CSNK1G3	ortholog_one2one
ENSSSCG00000045510				
ENSSSCG00000014136	VCAN	ENSG00000038427	VCAN	ortholog_one2one
ENSSSCG00000014242		ENSG00000168916	ZNF608	ortholog_one2one
ENSSSCG00000022402	GRAMD2B	ENSG00000155324	GRAMD2B	ortholog_one2one
ENSSSCG00000014247	ALDH7A1	ENSG00000164904	ALDH7A1	ortholog_one2one
ENSSSCG00000006173	GDAP1	ENSG00000104381	GDAP1	ortholog_one2one
ENSSSCG00000061130		ENSG00000212907	MT-ND4L	ortholog_one2many
ENSSSCG00000006172	PI15	ENSG00000137558	PI15	ortholog_one2one
ENSSSCG00000047325				
ENSSSCG00000006171	CRISPLD1	ENSG00000121005	CRISPLD1	ortholog_one2one
ENSSSCG00000057529				
ENSSSCG00000059556				
ENSSSCG00000061607				
ENSSSCG00000050494				
ENSSSCG00000056857				
ENSSSCG00000053008				
ENSSSCG00000058049				
ENSSSCG00000045615				
ENSSSCG00000061746				
ENSSSCG00000062692				
ENSSSCG00000060876				
ENSSSCG00000035887	C8orf34	ENSG00000165084	C8orf34	ortholog_one2one
ENSSSCG00000057778				
ENSSSCG00000063548				
ENSSSCG00000061735				
ENSSSCG00000058736				
ENSSSCG00000055625				
ENSSSCG00000012120				
ENSSSCG00000056665				
ENSSSCG00000056602				
ENSSSCG00000050048				
ENSSSCG00000062826				
ENSSSCG00000054595				
ENSSSCG00000038500	TRIB1	ENSG00000173334	TRIB1	ortholog_one2one
ENSSSCG00000050559				
ENSSSCG00000056459				
ENSSSCG00000058868				
ENSSSCG00000052426				
ENSSSCG00000006174	JPH1	ENSG00000104369	JPH1	ortholog_one2one
ENSSSCG00000052480				
ENSSSCG00000055619				
ENSSSCG00000054377				
ENSSSCG00000044415				
ENSSSCG00000006175	LY96	ENSG00000154589	LY96	ortholog_one2one
ENSSSCG00000061590				
ENSSSCG00000005961				
ENSSSCG00000053188				
ENSSSCG00000051977				
ENSSSCG00000058079				
ENSSSCG00000021628	TMEM70	ENSG00000175606	TMEM70	ortholog_one2one
ENSSSCG00000038476				
ENSSSCG00000060814				
ENSSSCG00000063280				
ENSSSCG00000055379				
ENSSSCG00000006176				
ENSSSCG00000060171				
ENSSSCG00000059644				
ENSSSCG00000056869				
ENSSSCG00000056397				
ENSSSCG00000053066				
ENSSSCG00000062861				
ENSSSCG00000041042				
ENSSSCG00000057405				
ENSSSCG00000005962		ENSG00000147697	GSDMC	ortholog_one2one
ENSSSCG00000059257				
ENSSSCG00000006177	UBE2W	ENSG00000104343	UBE2W	ortholog_one2one
ENSSSCG00000049322				
ENSSSCG00000046941				
ENSSSCG00000052751				
ENSSSCG00000062254				
ENSSSCG00000060605				
ENSSSCG00000014244	PHAX	ENSG00000164902	PHAX	ortholog_one2one
ENSSSCG00000055741				
ENSSSCG00000057810				
ENSSSCG00000041572				
ENSSSCG00000054994				
ENSSSCG00000040454	TEX43	ENSG00000196900	TEX43	ortholog_one2one
ENSSSCG00000041183				
ENSSSCG00000053092				
ENSSSCG00000060756				
ENSSSCG00000058343				
ENSSSCG00000006179	STAU2	ENSG00000040341	STAU2	ortholog_one2one
ENSSSCG00000060683				
ENSSSCG00000014248	LMNB1	ENSG00000113368	LMNB1	ortholog_one2one
ENSSSCG00000057324				
ENSSSCG00000006089	PTDSS1	ENSG00000156471	PTDSS1	ortholog_one2one
ENSSSCG00000060037				
ENSSSCG00000058080				
ENSSSCG00000053095				
ENSSSCG00000056205				
ENSSSCG00000055008				
ENSSSCG00000050166				
ENSSSCG00000052522				
ENSSSCG00000057995				
ENSSSCG00000061085				
ENSSSCG00000055903				
ENSSSCG00000006090	MTERF3	ENSG00000156469	MTERF3	ortholog_one2one
ENSSSCG00000060099				
ENSSSCG00000014249	MARCHF3	ENSG00000173926	MARCHF3	ortholog_one2one
ENSSSCG00000058507				
ENSSSCG00000005987	TBC1D31	ENSG00000156787	TBC1D31	ortholog_one2one
ENSSSCG00000053794				
ENSSSCG00000057162				
ENSSSCG00000059147				
ENSSSCG00000056823				
ENSSSCG00000050715				
ENSSSCG00000062174				
ENSSSCG00000055783	UQCRB	ENSG00000156467	UQCRB	ortholog_one2one
ENSSSCG00000053056				
ENSSSCG00000054919				
ENSSSCG00000061177				
ENSSSCG00000057342				
ENSSSCG00000052594				
ENSSSCG00000061981				
ENSSSCG00000014250	C5orf63	ENSG00000164241	C5orf63	ortholog_one2one
ENSSSCG00000006132	MMP16	ENSG00000156103	MMP16	ortholog_one2one
ENSSSCG00000059319				
ENSSSCG00000059056				
ENSSSCG00000014161	KIAA0825	ENSG00000185261	KIAA0825	ortholog_one2one
ENSSSCG00000055599				
ENSSSCG00000056188				
ENSSSCG00000048883				
ENSSSCG00000006115	RUNX1T1	ENSG00000079102	RUNX1T1	ortholog_one2one
ENSSSCG00000061218				
ENSSSCG00000035571				
ENSSSCG00000062599				
ENSSSCG00000032877	MEGF10	ENSG00000145794	MEGF10	ortholog_one2one
ENSSSCG00000014163	SLF1	ENSG00000133302	SLF1	ortholog_one2one
ENSSSCG00000051601				
ENSSSCG00000020474	U1	ENSG00000202000	RNU1-36P	ortholog_one2many
ENSSSCG00000014182	SLCO4C1	ENSG00000173930	SLCO4C1	ortholog_one2one
ENSSSCG00000061809	U6	ENSG00000207087	RNU6-242P	ortholog_one2one
ENSSSCG00000018631				
ENSSSCG00000014183	SLCO6A1	ENSG00000205359	SLCO6A1	ortholog_one2one
ENSSSCG00000033306	U6	ENSG00000207214	RNU6-102P	ortholog_one2many
ENSSSCG00000033306	U6	ENSG00000201016	RNU6-374P	ortholog_one2many
ENSSSCG00000018205	SCARNA18	ENSG00000238835	SCARNA18	ortholog_one2one
ENSSSCG00000030562	U6			
ENSSSCG00000018888				
ENSSSCG00000036161	CNBD1	ENSG00000176571	CNBD1	ortholog_one2one
ENSSSCG00000006116	SLC26A7	ENSG00000147606	SLC26A7	ortholog_one2one
ENSSSCG00000056684	DERL1	ENSG00000136986	DERL1	ortholog_one2one
ENSSSCG00000054584				
ENSSSCG00000054228				
ENSSSCG00000054435				
ENSSSCG00000006183	SBSPON	ENSG00000164764	SBSPON	ortholog_one2one
ENSSSCG00000059960				
ENSSSCG00000021586	ZHX2	ENSG00000178764	ZHX2	ortholog_one2one
